run_id,source,scenario,batch_size,metric,count,avg,median,p95,min,max
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,candidate_collect_ms,662,1.015,1.0,1.0,1.0,2.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,first_mask_ms,193,1.28,1.0,2.0,1.0,6.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,local_preflight_ms,7,1.714,1.0,6.0,1.0,6.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,post_backend_to_mask_ms,1,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,pre_backend_ms,830,1.051,1.0,1.0,1.0,3.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,4,total_to_mask_ms,834,58.547,62.0,90.0,1.0,252.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,8,backend_internal_avg_ms,833,12.3,12.235,22.317,0.059,38.682
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,8,backend_model_avg_ms,759,13.279,12.297,22.262,1.254,38.503
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,8,backend_roundtrip_ms,832,59.292,62.0,86.0,1.0,429.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,8,candidate_collect_ms,825,1.09,1.0,2.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,8,first_mask_ms,204,1.819,2.0,3.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,8,local_preflight_ms,15,1.0,1.0,1.0,1.0,1.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,8,pre_backend_ms,829,1.641,2.0,2.0,1.0,4.0
chrome-10k-fixture-20260607T2314,extension-lastStats,search-result,8,total_to_mask_ms,834,60.808,63.5,88.0,1.0,431.0
