run_id,row_sample_id,measured_at,scenario,batch_size,total_candidate_count,foreground_candidate_count,analysis_unit_count,requested_text_count,backend_request_count,row_total_to_mask_ms,backend_roundtrip_ms,backend_internal_avg_ms,backend_model_avg_ms,candidate_collect_ms,parser_ms,pre_backend_ms,local_preflight_ms,decision_build_ms,mask_apply_ms,post_backend_to_mask_ms,first_mask_ms,amortized_total_ms_per_requested_text,latency_bucket,dominant_stage,dominant_stage_ms,worst_rank,is_absolute_worst,is_extreme_outlier,is_outlier_excluded_worst,is_recurring_slow_bucket,is_fast_or_cache_path,user_visible_latency_basis,throughput_note,raw_notes
chrome-10k-fixture-20260607T2314,1295,2026-06-07T23:20:16+09:00,bypass,8,18,8,8,6,2,49,48,10.53,10.275,1,,1,,,,,2,8.17,fast<=50ms,backend_roundtrip_ms,48.0,8096,no,no,no,no,no,total_to_mask_ms,6 requested texts in row; amortized=8.17ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1296,2026-06-07T23:20:16+09:00,bypass,16,20,8,8,5,1,37,35,10.798,10.559,1,,2,,,,,2,7.4,fast<=50ms,backend_roundtrip_ms,35.0,9157,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=7.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1297,2026-06-07T23:20:17+09:00,mixed,4,7,7,7,4,1,32,31,12.077,11.95,,,1,,,,,,8.0,fast<=50ms,backend_roundtrip_ms,31.0,9373,no,no,no,no,no,total_to_mask_ms,4 requested texts in row; amortized=8.00ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1298,2026-06-07T23:20:17+09:00,mixed,8,15,8,8,4,1,53,52,14.763,14.608,1,,1,,,,,,13.25,normal<=100ms,backend_roundtrip_ms,52.0,7651,no,no,no,no,no,total_to_mask_ms,4 requested texts in row; amortized=13.25ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1299,2026-06-07T23:20:17+09:00,mixed,16,18,8,8,5,2,59,57,13.573,13.399,1,,1,,,,,,11.8,normal<=100ms,backend_roundtrip_ms,57.0,6641,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=11.80ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1300,2026-06-07T23:20:18+09:00,search-result,4,10,8,8,5,2,54,53,12.995,12.817,1,,1,,,,,,10.8,normal<=100ms,backend_roundtrip_ms,53.0,7514,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=10.80ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1301,2026-06-07T23:20:18+09:00,search-result,8,18,8,8,5,2,77,75,15.722,15.547,1,,2,,,,,,15.4,normal<=100ms,backend_roundtrip_ms,75.0,3066,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=15.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1302,2026-06-07T23:20:18+09:00,search-result,16,19,8,8,5,2,48,47,12.174,11.958,2,,2,,,,,,9.6,fast<=50ms,backend_roundtrip_ms,47.0,8213,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=9.60ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1303,2026-06-07T23:20:18+09:00,profanity,4,10,8,8,5,1,52,50,12.684,12.449,1,,1,,,,,2,10.4,normal<=100ms,backend_roundtrip_ms,50.0,7758,no,no,no,no,no,total_to_mask_ms,5 requested texts in row; amortized=10.40ms/text,real Chrome unpacked extension content-script pipeline
chrome-10k-fixture-20260607T2314,1304,2026-06-07T23:20:19+09:00,profanity,8,18,8,8,8,2,83,80,9.423,9.06,1,,2,,,,,2,10.38,normal<=100ms,backend_roundtrip_ms,80.0,2179,no,no,no,no,no,total_to_mask_ms,8 requested texts in row; amortized=10.38ms/text,real Chrome unpacked extension content-script pipeline
